Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,Franka,/entregador/pontoRecebimento,13.474464416503906
sensor,Franka,/bloco/disponivel,109.0860366821289
sensor,Franka,/bloco/disponivel,198.42839241027832
sensor,Franka,/bloco/disponivel,131.90126419067383
youBot,Franka,/entregador/pontoRecebimento,119.74883079528809
sensor,Franka,/bloco/disponivel,29.803752899169922
youBot,Franka,/entregador/pontoRecebimento,72.65114784240723
sensor,Franka,/bloco/disponivel,127.52056121826172
youBot,Franka,/entregador/pontoRecebimento,62.795400619506836
sensor,Franka,/bloco/disponivel,123.48222732543945
youBot,Franka,/entregador/pontoRecebimento,85.70051193237305
sensor,Franka,/bloco/disponivel,113.9373779296875
youBot,Franka,/entregador/pontoRecebimento,91.39227867126465
sensor,Franka,/bloco/disponivel,45.577287673950195
youBot,Franka,/entregador/pontoRecebimento,122.77102470397949
sensor,Franka,/bloco/disponivel,61.85317039489746
youBot,Franka,/entregador/pontoRecebimento,28.61642837524414
sensor,Franka,/bloco/disponivel,99.32160377502441
youBot,Franka,/entregador/pontoRecebimento,62.38055229187012
youBot,Franka,/entregador/pontoRecebimento,117.06829071044922
youBot,Franka,/entregador/pontoRecebimento,115.12351036071777
UR10,Franka,/colaboracao/fim,50.9181022644043
youBot,Franka,/entregador/pontoRecebimento,22.893905639648438
sensor,Franka,/bloco/disponivel,62.51382827758789
sensor,Franka,/bloco/disponivel,85.75606346130371
sensor,Franka,/bloco/disponivel,107.83958435058594
youBot,Franka,/entregador/pontoRecebimento,84.74469184875488
sensor,Franka,/bloco/disponivel,67.68155097961426
youBot,Franka,/entregador/pontoRecebimento,50.27174949645996
sensor,Franka,/bloco/disponivel,26.975631713867188
youBot,Franka,/entregador/pontoRecebimento,89.02549743652344
sensor,Franka,/bloco/disponivel,41.3661003112793
youBot,Franka,/entregador/pontoRecebimento,74.17011260986328
sensor,Franka,/bloco/disponivel,42.36340522766113
youBot,Franka,/entregador/pontoRecebimento,82.9012393951416
sensor,Franka,/bloco/disponivel,130.86628913879395
youBot,Franka,/entregador/pontoRecebimento,120.8653450012207
sensor,Franka,/bloco/disponivel,97.90635108947754
youBot,Franka,/entregador/pontoRecebimento,54.7487735748291
sensor,Franka,/bloco/disponivel,30.765056610107422
youBot,Franka,/entregador/pontoRecebimento,130.07473945617676
youBot,Franka,/entregador/pontoRecebimento,139.76693153381348
youBot,Franka,/entregador/pontoRecebimento,56.22148513793945
UR10,Franka,/colaboracao/fim,109.97962951660156
youBot,Franka,/entregador/pontoRecebimento,13.48257064819336
sensor,Franka,/bloco/disponivel,43.78175735473633
sensor,Franka,/bloco/disponivel,55.80544471740723
sensor,Franka,/bloco/disponivel,49.75461959838867
youBot,Franka,/entregador/pontoRecebimento,103.12604904174805
sensor,Franka,/bloco/disponivel,67.2304630279541
youBot,Franka,/entregador/pontoRecebimento,109.69257354736328
sensor,Franka,/bloco/disponivel,82.9782485961914
youBot,Franka,/entregador/pontoRecebimento,120.21374702453613
sensor,Franka,/bloco/disponivel,23.257732391357422
youBot,Franka,/entregador/pontoRecebimento,104.2168140411377
sensor,Franka,/bloco/disponivel,106.51516914367676
youBot,Franka,/entregador/pontoRecebimento,131.87313079833984
sensor,Franka,/bloco/disponivel,75.0882625579834
youBot,Franka,/entregador/pontoRecebimento,53.22670936584473
sensor,Franka,/bloco/disponivel,80.44695854187012
youBot,Franka,/entregador/pontoRecebimento,81.95090293884277
sensor,Franka,/bloco/disponivel,84.77449417114258
youBot,Franka,/entregador/pontoRecebimento,44.25477981567383
youBot,Franka,/entregador/pontoRecebimento,62.52479553222656
youBot,Franka,/entregador/pontoRecebimento,62.37149238586426
UR10,Franka,/colaboracao/fim,146.02112770080566
youBot,Franka,/entregador/pontoRecebimento,33.89334678649902
sensor,Franka,/bloco/disponivel,47.136783599853516
sensor,Franka,/bloco/disponivel,62.55197525024414
sensor,Franka,/bloco/disponivel,117.4008846282959
youBot,Franka,/entregador/pontoRecebimento,41.719675064086914
sensor,Franka,/bloco/disponivel,28.58114242553711
youBot,Franka,/entregador/pontoRecebimento,61.36012077331543
sensor,Franka,/bloco/disponivel,123.09050559997559
youBot,Franka,/entregador/pontoRecebimento,23.899078369140625
sensor,Franka,/bloco/disponivel,61.26666069030762
youBot,Franka,/entregador/pontoRecebimento,42.917490005493164
sensor,Franka,/bloco/disponivel,28.543710708618164
youBot,Franka,/entregador/pontoRecebimento,45.630455017089844
sensor,Franka,/bloco/disponivel,23.30493927001953
youBot,Franka,/entregador/pontoRecebimento,64.96095657348633
sensor,Franka,/bloco/disponivel,133.561372756958
youBot,Franka,/entregador/pontoRecebimento,123.01254272460938
sensor,Franka,/bloco/disponivel,41.945457458496094
youBot,Franka,/entregador/pontoRecebimento,124.53722953796387
youBot,Franka,/entregador/pontoRecebimento,30.843734741210938
youBot,Franka,/entregador/pontoRecebimento,127.12430953979492
UR10,Franka,/colaboracao/fim,104.0647029876709
youBot,Franka,/entregador/pontoRecebimento,18.36371421813965
sensor,Franka,/bloco/disponivel,51.73778533935547
sensor,Franka,/bloco/disponivel,119.51684951782227
sensor,Franka,/bloco/disponivel,135.34808158874512
youBot,Franka,/entregador/pontoRecebimento,44.04306411743164
sensor,Franka,/bloco/disponivel,49.36552047729492
youBot,Franka,/entregador/pontoRecebimento,93.97220611572266
sensor,Franka,/bloco/disponivel,37.837982177734375
youBot,Franka,/entregador/pontoRecebimento,107.79619216918945
sensor,Franka,/bloco/disponivel,100.86202621459961
youBot,Franka,/entregador/pontoRecebimento,86.70830726623535
sensor,Franka,/bloco/disponivel,87.6474380493164
youBot,Franka,/entregador/pontoRecebimento,128.9684772491455
sensor,Franka,/bloco/disponivel,75.32215118408203
youBot,Franka,/entregador/pontoRecebimento,128.8769245147705
sensor,Franka,/bloco/disponivel,72.56698608398438
youBot,Franka,/entregador/pontoRecebimento,139.4641399383545
sensor,Franka,/bloco/disponivel,92.46063232421875
youBot,Franka,/entregador/pontoRecebimento,110.2144718170166
youBot,Franka,/entregador/pontoRecebimento,67.68488883972168
youBot,Franka,/entregador/pontoRecebimento,99.64156150817871
UR10,Franka,/colaboracao/fim,127.25019454956055
