Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
Franka,youBot,/entregador/encomendaDisponibilizada,82.23867416381836
UR10,youBot,/entregador/encomendaColetada,97.25260734558105
Franka,youBot,/entregador/encomendaDisponibilizada,86.83323860168457
UR10,youBot,/entregador/encomendaColetada,67.86155700683594
Franka,youBot,/entregador/encomendaDisponibilizada,147.14407920837402
UR10,youBot,/entregador/encomendaColetada,143.4769630432129
Franka,youBot,/entregador/encomendaDisponibilizada,48.330068588256836
UR10,youBot,/entregador/encomendaColetada,96.83108329772949
Franka,youBot,/entregador/encomendaDisponibilizada,116.3330078125
UR10,youBot,/entregador/encomendaColetada,72.39603996276855
Franka,youBot,/entregador/encomendaDisponibilizada,78.42826843261719
UR10,youBot,/entregador/encomendaColetada,29.514551162719727
Franka,youBot,/entregador/encomendaDisponibilizada,29.65545654296875
UR10,youBot,/entregador/encomendaColetada,101.52173042297363
Franka,youBot,/entregador/encomendaDisponibilizada,80.42073249816895
UR10,youBot,/entregador/encomendaColetada,92.34070777893066
Franka,youBot,/entregador/encomendaDisponibilizada,110.05806922912598
UR10,youBot,/entregador/encomendaColetada,117.51198768615723
Franka,youBot,/entregador/encomendaDisponibilizada,135.26296615600586
UR10,youBot,/entregador/encomendaColetada,32.510995864868164
UR10,youBot,/colaboracao/fim,60.97865104675293
Franka,youBot,/entregador/encomendaDisponibilizada,90.01922607421875
UR10,youBot,/entregador/encomendaColetada,116.27483367919922
Franka,youBot,/entregador/encomendaDisponibilizada,139.62936401367188
UR10,youBot,/entregador/encomendaColetada,80.14488220214844
Franka,youBot,/entregador/encomendaDisponibilizada,53.10177803039551
UR10,youBot,/entregador/encomendaColetada,126.22833251953125
Franka,youBot,/entregador/encomendaDisponibilizada,96.06409072875977
UR10,youBot,/entregador/encomendaColetada,87.24021911621094
Franka,youBot,/entregador/encomendaDisponibilizada,71.42376899719238
UR10,youBot,/entregador/encomendaColetada,35.73322296142578
Franka,youBot,/entregador/encomendaDisponibilizada,134.83834266662598
UR10,youBot,/entregador/encomendaColetada,111.47952079772949
Franka,youBot,/entregador/encomendaDisponibilizada,117.08998680114746
UR10,youBot,/entregador/encomendaColetada,75.408935546875
Franka,youBot,/entregador/encomendaDisponibilizada,115.26107788085938
UR10,youBot,/entregador/encomendaColetada,111.29641532897949
Franka,youBot,/entregador/encomendaDisponibilizada,115.61322212219238
UR10,youBot,/entregador/encomendaColetada,18.660783767700195
Franka,youBot,/entregador/encomendaDisponibilizada,58.79998207092285
UR10,youBot,/entregador/encomendaColetada,102.91767120361328
UR10,youBot,/colaboracao/fim,115.07558822631836
Franka,youBot,/entregador/encomendaDisponibilizada,81.66146278381348
UR10,youBot,/entregador/encomendaColetada,62.5300407409668
Franka,youBot,/entregador/encomendaDisponibilizada,96.97937965393066
UR10,youBot,/entregador/encomendaColetada,68.52149963378906
Franka,youBot,/entregador/encomendaDisponibilizada,39.3519401550293
UR10,youBot,/entregador/encomendaColetada,94.32458877563477
Franka,youBot,/entregador/encomendaDisponibilizada,108.53862762451172
UR10,youBot,/entregador/encomendaColetada,59.10825729370117
Franka,youBot,/entregador/encomendaDisponibilizada,106.14562034606934
UR10,youBot,/entregador/encomendaColetada,85.54387092590332
Franka,youBot,/entregador/encomendaDisponibilizada,46.10776901245117
UR10,youBot,/entregador/encomendaColetada,22.56941795349121
Franka,youBot,/entregador/encomendaDisponibilizada,42.09709167480469
UR10,youBot,/entregador/encomendaColetada,93.69802474975586
Franka,youBot,/entregador/encomendaDisponibilizada,12.934684753417969
UR10,youBot,/entregador/encomendaColetada,47.40023612976074
Franka,youBot,/entregador/encomendaDisponibilizada,99.08485412597656
UR10,youBot,/entregador/encomendaColetada,57.23214149475098
Franka,youBot,/entregador/encomendaDisponibilizada,60.26482582092285
UR10,youBot,/entregador/encomendaColetada,99.04289245605469
UR10,youBot,/colaboracao/fim,140.61546325683594
Franka,youBot,/entregador/encomendaDisponibilizada,81.17270469665527
UR10,youBot,/entregador/encomendaColetada,132.84754753112793
Franka,youBot,/entregador/encomendaDisponibilizada,33.90693664550781
UR10,youBot,/entregador/encomendaColetada,184.60607528686523
Franka,youBot,/entregador/encomendaDisponibilizada,107.32078552246094
UR10,youBot,/entregador/encomendaColetada,64.11337852478027
Franka,youBot,/entregador/encomendaDisponibilizada,126.40070915222168
UR10,youBot,/entregador/encomendaColetada,31.33535385131836
Franka,youBot,/entregador/encomendaDisponibilizada,30.119657516479492
UR10,youBot,/entregador/encomendaColetada,13.02957534790039
Franka,youBot,/entregador/encomendaDisponibilizada,47.42932319641113
UR10,youBot,/entregador/encomendaColetada,22.868871688842773
Franka,youBot,/entregador/encomendaDisponibilizada,27.612686157226562
UR10,youBot,/entregador/encomendaColetada,16.736745834350586
Franka,youBot,/entregador/encomendaDisponibilizada,61.292409896850586
UR10,youBot,/entregador/encomendaColetada,137.5727653503418
Franka,youBot,/entregador/encomendaDisponibilizada,85.35289764404297
UR10,youBot,/entregador/encomendaColetada,74.2192268371582
Franka,youBot,/entregador/encomendaDisponibilizada,29.250144958496094
UR10,youBot,/entregador/encomendaColetada,63.81082534790039
UR10,youBot,/colaboracao/fim,83.70304107666016
Franka,youBot,/entregador/encomendaDisponibilizada,102.72860527038574
UR10,youBot,/entregador/encomendaColetada,77.29601860046387
Franka,youBot,/entregador/encomendaDisponibilizada,31.35848045349121
UR10,youBot,/entregador/encomendaColetada,91.52054786682129
Franka,youBot,/entregador/encomendaDisponibilizada,51.76091194152832
UR10,youBot,/entregador/encomendaColetada,127.27069854736328
Franka,youBot,/entregador/encomendaDisponibilizada,20.585298538208008
UR10,youBot,/entregador/encomendaColetada,118.50380897521973
Franka,youBot,/entregador/encomendaDisponibilizada,79.7433853149414
UR10,youBot,/entregador/encomendaColetada,45.562028884887695
Franka,youBot,/entregador/encomendaDisponibilizada,37.80651092529297
UR10,youBot,/entregador/encomendaColetada,58.203697204589844
Franka,youBot,/entregador/encomendaDisponibilizada,116.89448356628418
UR10,youBot,/entregador/encomendaColetada,106.98556900024414
Franka,youBot,/entregador/encomendaDisponibilizada,58.98714065551758
UR10,youBot,/entregador/encomendaColetada,50.58765411376953
Franka,youBot,/entregador/encomendaDisponibilizada,93.41192245483398
UR10,youBot,/entregador/encomendaColetada,118.00599098205566
Franka,youBot,/entregador/encomendaDisponibilizada,70.22237777709961
UR10,youBot,/entregador/encomendaColetada,41.722774505615234
UR10,youBot,/colaboracao/fim,122.16782569885254
