Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,Franka,/entregador/pontoRecebimento,20.81918716430664
sensor,Franka,/bloco/disponivel,10.892629623413086
sensor,Franka,/bloco/disponivel,0.6392002105712891
sensor,Franka,/bloco/disponivel,5.6438446044921875
youBot,Franka,/entregador/pontoRecebimento,31.633853912353516
sensor,Franka,/bloco/disponivel,10.732412338256836
youBot,Franka,/entregador/pontoRecebimento,20.801067352294922
sensor,Franka,/bloco/disponivel,20.969629287719727
youBot,Franka,/entregador/pontoRecebimento,20.73192596435547
sensor,Franka,/bloco/disponivel,26.09992027282715
youBot,Franka,/entregador/pontoRecebimento,15.631675720214844
sensor,Franka,/bloco/disponivel,26.2601375579834
youBot,Franka,/entregador/pontoRecebimento,30.927658081054688
sensor,Franka,/bloco/disponivel,10.719537734985352
youBot,Franka,/entregador/pontoRecebimento,15.66767692565918
sensor,Franka,/bloco/disponivel,15.857458114624023
youBot,Franka,/entregador/pontoRecebimento,15.596628189086914
sensor,Franka,/bloco/disponivel,15.842437744140625
youBot,Franka,/entregador/pontoRecebimento,26.140689849853516
youBot,Franka,/entregador/pontoRecebimento,25.9397029876709
youBot,Franka,/entregador/pontoRecebimento,30.856847763061523
UR10,Franka,/colaboracao/fim,11.914491653442383
youBot,Franka,/entregador/pontoRecebimento,46.347856521606445
sensor,Franka,/bloco/disponivel,10.970354080200195
sensor,Franka,/bloco/disponivel,10.719776153564453
sensor,Franka,/bloco/disponivel,26.08036994934082
youBot,Franka,/entregador/pontoRecebimento,26.519298553466797
sensor,Franka,/bloco/disponivel,10.81991195678711
youBot,Franka,/entregador/pontoRecebimento,31.08072280883789
sensor,Franka,/bloco/disponivel,21.143674850463867
youBot,Franka,/entregador/pontoRecebimento,15.789270401000977
sensor,Franka,/bloco/disponivel,3.158092498779297
youBot,Franka,/entregador/pontoRecebimento,20.83563804626465
sensor,Franka,/bloco/disponivel,15.845775604248047
youBot,Franka,/entregador/pontoRecebimento,15.640735626220703
sensor,Franka,/bloco/disponivel,10.794639587402344
youBot,Franka,/entregador/pontoRecebimento,20.740270614624023
sensor,Franka,/bloco/disponivel,15.84625244140625
youBot,Franka,/entregador/pontoRecebimento,20.796537399291992
sensor,Franka,/bloco/disponivel,10.742425918579102
youBot,Franka,/entregador/pontoRecebimento,30.95102310180664
youBot,Franka,/entregador/pontoRecebimento,15.689611434936523
youBot,Franka,/entregador/pontoRecebimento,15.617609024047852
UR10,Franka,/colaboracao/fim,31.06975555419922
youBot,Franka,/entregador/pontoRecebimento,15.968799591064453
sensor,Franka,/bloco/disponivel,26.48615837097168
sensor,Franka,/bloco/disponivel,10.762691497802734
sensor,Franka,/bloco/disponivel,5.687952041625977
youBot,Franka,/entregador/pontoRecebimento,31.567811965942383
sensor,Franka,/bloco/disponivel,20.976543426513672
youBot,Franka,/entregador/pontoRecebimento,20.826101303100586
sensor,Franka,/bloco/disponivel,5.767107009887695
youBot,Franka,/entregador/pontoRecebimento,26.068687438964844
sensor,Franka,/bloco/disponivel,20.911216735839844
youBot,Franka,/entregador/pontoRecebimento,20.755529403686523
sensor,Franka,/bloco/disponivel,10.58506965637207
youBot,Franka,/entregador/pontoRecebimento,10.850191116333008
sensor,Franka,/bloco/disponivel,10.937929153442383
youBot,Franka,/entregador/pontoRecebimento,5.658388137817383
sensor,Franka,/bloco/disponivel,10.640621185302734
youBot,Franka,/entregador/pontoRecebimento,31.12483024597168
sensor,Franka,/bloco/disponivel,5.5866241455078125
youBot,Franka,/entregador/pontoRecebimento,25.713682174682617
youBot,Franka,/entregador/pontoRecebimento,15.588998794555664
youBot,Franka,/entregador/pontoRecebimento,35.92705726623535
UR10,Franka,/colaboracao/fim,11.247873306274414
youBot,Franka,/entregador/pontoRecebimento,45.488595962524414
sensor,Franka,/bloco/disponivel,5.752325057983398
sensor,Franka,/bloco/disponivel,5.710124969482422
sensor,Franka,/bloco/disponivel,5.472660064697266
youBot,Franka,/entregador/pontoRecebimento,21.549463272094727
sensor,Franka,/bloco/disponivel,26.274681091308594
youBot,Franka,/entregador/pontoRecebimento,20.792007446289062
sensor,Franka,/bloco/disponivel,10.742664337158203
youBot,Franka,/entregador/pontoRecebimento,10.561943054199219
sensor,Franka,/bloco/disponivel,25.999069213867188
youBot,Franka,/entregador/pontoRecebimento,36.01980209350586
sensor,Franka,/bloco/disponivel,26.114225387573242
youBot,Franka,/entregador/pontoRecebimento,35.999298095703125
sensor,Franka,/bloco/disponivel,5.682468414306641
youBot,Franka,/entregador/pontoRecebimento,25.75850486755371
sensor,Franka,/bloco/disponivel,10.612249374389648
youBot,Franka,/entregador/pontoRecebimento,30.928373336791992
sensor,Franka,/bloco/disponivel,10.851383209228516
