Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,Franka,/entregador/pontoRecebimento,394.6552276611328
sensor,Franka,/bloco/disponivel,168.91884803771973
sensor,Franka,/bloco/disponivel,224.80440139770508
sensor,Franka,/bloco/disponivel,303.9984703063965
youBot,Franka,/entregador/pontoRecebimento,326.25293731689453
sensor,Franka,/bloco/disponivel,214.93077278137207
youBot,Franka,/entregador/pontoRecebimento,266.59178733825684
sensor,Franka,/bloco/disponivel,200.93250274658203
youBot,Franka,/entregador/pontoRecebimento,255.59544563293457
sensor,Franka,/bloco/disponivel,229.80117797851562
youBot,Franka,/entregador/pontoRecebimento,194.34881210327148
sensor,Franka,/bloco/disponivel,330.0435543060303
youBot,Franka,/entregador/pontoRecebimento,225.22735595703125
sensor,Franka,/bloco/disponivel,228.45911979675293
youBot,Franka,/entregador/pontoRecebimento,291.7358875274658
sensor,Franka,/bloco/disponivel,252.95114517211914
youBot,Franka,/entregador/pontoRecebimento,353.5046577453613
sensor,Franka,/bloco/disponivel,511.5325450897217
youBot,Franka,/entregador/pontoRecebimento,175.05764961242676
youBot,Franka,/entregador/pontoRecebimento,181.09583854675293
youBot,Franka,/entregador/pontoRecebimento,237.213134765625
UR10,Franka,/colaboracao/fim,253.86595726013184
youBot,Franka,/entregador/pontoRecebimento,428.07531356811523
sensor,Franka,/bloco/disponivel,203.04107666015625
sensor,Franka,/bloco/disponivel,204.75292205810547
sensor,Franka,/bloco/disponivel,218.7814712524414
youBot,Franka,/entregador/pontoRecebimento,193.15123558044434
sensor,Franka,/bloco/disponivel,242.36178398132324
youBot,Franka,/entregador/pontoRecebimento,206.86697959899902
sensor,Franka,/bloco/disponivel,240.97371101379395
youBot,Franka,/entregador/pontoRecebimento,259.14812088012695
sensor,Franka,/bloco/disponivel,179.72326278686523
youBot,Franka,/entregador/pontoRecebimento,206.77757263183594
sensor,Franka,/bloco/disponivel,225.71539878845215
youBot,Franka,/entregador/pontoRecebimento,262.81046867370605
sensor,Franka,/bloco/disponivel,263.7367248535156
youBot,Franka,/entregador/pontoRecebimento,213.94777297973633
sensor,Franka,/bloco/disponivel,208.15205574035645
youBot,Franka,/entregador/pontoRecebimento,215.98482131958008
sensor,Franka,/bloco/disponivel,180.61470985412598
youBot,Franka,/entregador/pontoRecebimento,223.28472137451172
youBot,Franka,/entregador/pontoRecebimento,158.16235542297363
youBot,Franka,/entregador/pontoRecebimento,275.62975883483887
UR10,Franka,/colaboracao/fim,361.04512214660645
youBot,Franka,/entregador/pontoRecebimento,416.5363311767578
sensor,Franka,/bloco/disponivel,358.16359519958496
sensor,Franka,/bloco/disponivel,257.9221725463867
sensor,Franka,/bloco/disponivel,247.59936332702637
youBot,Franka,/entregador/pontoRecebimento,252.50625610351562
sensor,Franka,/bloco/disponivel,200.4239559173584
youBot,Franka,/entregador/pontoRecebimento,255.04493713378906
sensor,Franka,/bloco/disponivel,374.33910369873047
youBot,Franka,/entregador/pontoRecebimento,220.7953929901123
sensor,Franka,/bloco/disponivel,233.8883876800537
youBot,Franka,/entregador/pontoRecebimento,394.24610137939453
sensor,Franka,/bloco/disponivel,153.51080894470215
youBot,Franka,/entregador/pontoRecebimento,1122.7772235870361
sensor,Franka,/bloco/disponivel,799.7181415557861
youBot,Franka,/entregador/pontoRecebimento,224.78556632995605
sensor,Franka,/bloco/disponivel,148.64754676818848
youBot,Franka,/entregador/pontoRecebimento,158.35189819335938
sensor,Franka,/bloco/disponivel,198.96411895751953
youBot,Franka,/entregador/pontoRecebimento,225.0378131866455
youBot,Franka,/entregador/pontoRecebimento,234.50231552124023
youBot,Franka,/entregador/pontoRecebimento,222.94902801513672
UR10,Franka,/colaboracao/fim,220.81589698791504
youBot,Franka,/entregador/pontoRecebimento,424.10898208618164
sensor,Franka,/bloco/disponivel,313.6148452758789
sensor,Franka,/bloco/disponivel,255.58137893676758
sensor,Franka,/bloco/disponivel,221.83942794799805
youBot,Franka,/entregador/pontoRecebimento,1045.1204776763916
sensor,Franka,/bloco/disponivel,154.17981147766113
youBot,Franka,/entregador/pontoRecebimento,249.06063079833984
sensor,Franka,/bloco/disponivel,1254.2898654937744
youBot,Franka,/entregador/pontoRecebimento,282.61303901672363
sensor,Franka,/bloco/disponivel,404.754638671875
youBot,Franka,/entregador/pontoRecebimento,208.0991268157959
sensor,Franka,/bloco/disponivel,242.8455352783203
youBot,Franka,/entregador/pontoRecebimento,203.13572883605957
sensor,Franka,/bloco/disponivel,351.72104835510254
youBot,Franka,/entregador/pontoRecebimento,272.95470237731934
sensor,Franka,/bloco/disponivel,237.36286163330078
youBot,Franka,/entregador/pontoRecebimento,232.6350212097168
sensor,Franka,/bloco/disponivel,167.31810569763184
youBot,Franka,/entregador/pontoRecebimento,296.4034080505371
youBot,Franka,/entregador/pontoRecebimento,253.66806983947754
youBot,Franka,/entregador/pontoRecebimento,222.20873832702637
UR10,Franka,/colaboracao/fim,172.98245429992676
youBot,Franka,/entregador/pontoRecebimento,423.9766597747803
sensor,Franka,/bloco/disponivel,314.6340847015381
sensor,Franka,/bloco/disponivel,198.9612579345703
sensor,Franka,/bloco/disponivel,234.5259189605713
youBot,Franka,/entregador/pontoRecebimento,215.90518951416016
sensor,Franka,/bloco/disponivel,210.09445190429688
youBot,Franka,/entregador/pontoRecebimento,191.7281150817871
sensor,Franka,/bloco/disponivel,183.92705917358398
youBot,Franka,/entregador/pontoRecebimento,197.91841506958008
sensor,Franka,/bloco/disponivel,207.92555809020996
youBot,Franka,/entregador/pontoRecebimento,258.82959365844727
sensor,Franka,/bloco/disponivel,223.0088710784912
youBot,Franka,/entregador/pontoRecebimento,220.86787223815918
sensor,Franka,/bloco/disponivel,220.89123725891113
youBot,Franka,/entregador/pontoRecebimento,260.36906242370605
sensor,Franka,/bloco/disponivel,177.76918411254883
youBot,Franka,/entregador/pontoRecebimento,223.3881950378418
sensor,Franka,/bloco/disponivel,215.55447578430176
youBot,Franka,/entregador/pontoRecebimento,157.51028060913086
youBot,Franka,/entregador/pontoRecebimento,220.66688537597656
youBot,Franka,/entregador/pontoRecebimento,262.42518424987793
UR10,Franka,/colaboracao/fim,218.95766258239746
