Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,UR10,/entregador/coletaDisponivel,251.62005424499512
youBot,UR10,/entregador/coletaDisponivel,252.31671333312988
youBot,UR10,/entregador/coletaDisponivel,301.7904758453369
youBot,UR10,/entregador/coletaDisponivel,353.58738899230957
youBot,UR10,/entregador/coletaDisponivel,179.9018383026123
youBot,UR10,/entregador/coletaDisponivel,190.87743759155273
youBot,UR10,/entregador/coletaDisponivel,157.75823593139648
youBot,UR10,/entregador/coletaDisponivel,215.42024612426758
youBot,UR10,/entregador/coletaDisponivel,194.34285163879395
youBot,UR10,/entregador/coletaDisponivel,204.32782173156738
youBot,UR10,/entregador/coletaDisponivel,199.50437545776367
youBot,UR10,/entregador/coletaDisponivel,278.87439727783203
youBot,UR10,/entregador/coletaDisponivel,299.90339279174805
youBot,UR10,/entregador/coletaDisponivel,264.77718353271484
youBot,UR10,/entregador/coletaDisponivel,679.6329021453857
youBot,UR10,/entregador/coletaDisponivel,168.18714141845703
youBot,UR10,/entregador/coletaDisponivel,162.7197265625
youBot,UR10,/entregador/coletaDisponivel,268.1570053100586
youBot,UR10,/entregador/coletaDisponivel,204.67448234558105
youBot,UR10,/entregador/coletaDisponivel,190.60301780700684
youBot,UR10,/entregador/coletaDisponivel,177.9329776763916
youBot,UR10,/entregador/coletaDisponivel,224.33185577392578
youBot,UR10,/entregador/coletaDisponivel,460.70289611816406
youBot,UR10,/entregador/coletaDisponivel,237.9739284515381
youBot,UR10,/entregador/coletaDisponivel,210.80589294433594
youBot,UR10,/entregador/coletaDisponivel,177.6602268218994
youBot,UR10,/entregador/coletaDisponivel,280.0567150115967
youBot,UR10,/entregador/coletaDisponivel,238.11697959899902
youBot,UR10,/entregador/coletaDisponivel,659.080982208252
youBot,UR10,/entregador/coletaDisponivel,499.68600273132324
youBot,UR10,/entregador/coletaDisponivel,188.54808807373047
youBot,UR10,/entregador/coletaDisponivel,226.62353515625
youBot,UR10,/entregador/coletaDisponivel,3204.843044281006
youBot,UR10,/entregador/coletaDisponivel,1618.0200576782227
youBot,UR10,/entregador/coletaDisponivel,208.2653045654297
youBot,UR10,/entregador/coletaDisponivel,995.6252574920654
youBot,UR10,/entregador/coletaDisponivel,199.1424560546875
youBot,UR10,/entregador/coletaDisponivel,199.97143745422363
youBot,UR10,/entregador/coletaDisponivel,185.4081153869629
youBot,UR10,/entregador/coletaDisponivel,257.49826431274414
youBot,UR10,/entregador/coletaDisponivel,202.43477821350098
youBot,UR10,/entregador/coletaDisponivel,283.59174728393555
youBot,UR10,/entregador/coletaDisponivel,246.9019889831543
youBot,UR10,/entregador/coletaDisponivel,271.35610580444336
youBot,UR10,/entregador/coletaDisponivel,232.8171730041504
youBot,UR10,/entregador/coletaDisponivel,227.68449783325195
youBot,UR10,/entregador/coletaDisponivel,228.24549674987793
youBot,UR10,/entregador/coletaDisponivel,251.49297714233398
youBot,UR10,/entregador/coletaDisponivel,298.48623275756836
youBot,UR10,/entregador/coletaDisponivel,155.012845993042
