Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
Franka,youBot,/entregador/encomendaDisponibilizada,260.52284240722656
UR10,youBot,/entregador/encomendaColetada,187.09731101989746
Franka,youBot,/entregador/encomendaDisponibilizada,155.48300743103027
UR10,youBot,/entregador/encomendaColetada,179.21781539916992
Franka,youBot,/entregador/encomendaDisponibilizada,168.25294494628906
UR10,youBot,/entregador/encomendaColetada,261.63697242736816
Franka,youBot,/entregador/encomendaDisponibilizada,226.0427474975586
UR10,youBot,/entregador/encomendaColetada,382.51447677612305
Franka,youBot,/entregador/encomendaDisponibilizada,359.25936698913574
UR10,youBot,/entregador/encomendaColetada,292.3998832702637
Franka,youBot,/entregador/encomendaDisponibilizada,353.9130687713623
UR10,youBot,/entregador/encomendaColetada,179.40473556518555
Franka,youBot,/entregador/encomendaDisponibilizada,1272.5389003753662
UR10,youBot,/entregador/encomendaColetada,292.28949546813965
Franka,youBot,/entregador/encomendaDisponibilizada,363.0361557006836
UR10,youBot,/entregador/encomendaColetada,259.97257232666016
Franka,youBot,/entregador/encomendaDisponibilizada,178.21979522705078
UR10,youBot,/entregador/encomendaColetada,385.39767265319824
Franka,youBot,/entregador/encomendaDisponibilizada,304.7020435333252
UR10,youBot,/entregador/encomendaColetada,189.24522399902344
UR10,youBot,/colaboracao/fim,243.7150478363037
Franka,youBot,/entregador/encomendaDisponibilizada,208.15420150756836
UR10,youBot,/entregador/encomendaColetada,225.7084846496582
Franka,youBot,/entregador/encomendaDisponibilizada,245.56970596313477
UR10,youBot,/entregador/encomendaColetada,249.03011322021484
Franka,youBot,/entregador/encomendaDisponibilizada,233.81662368774414
UR10,youBot,/entregador/encomendaColetada,208.4059715270996
Franka,youBot,/entregador/encomendaDisponibilizada,179.59952354431152
UR10,youBot,/entregador/encomendaColetada,223.95563125610352
Franka,youBot,/entregador/encomendaDisponibilizada,255.8436393737793
UR10,youBot,/entregador/encomendaColetada,158.38122367858887
Franka,youBot,/entregador/encomendaDisponibilizada,240.2784824371338
UR10,youBot,/entregador/encomendaColetada,174.6969223022461
Franka,youBot,/entregador/encomendaDisponibilizada,226.7451286315918
UR10,youBot,/entregador/encomendaColetada,188.89951705932617
Franka,youBot,/entregador/encomendaDisponibilizada,469.96188163757324
UR10,youBot,/entregador/encomendaColetada,276.13091468811035
Franka,youBot,/entregador/encomendaDisponibilizada,230.86071014404297
UR10,youBot,/entregador/encomendaColetada,241.06526374816895
Franka,youBot,/entregador/encomendaDisponibilizada,229.76255416870117
UR10,youBot,/entregador/encomendaColetada,268.2352066040039
UR10,youBot,/colaboracao/fim,361.0358238220215
Franka,youBot,/entregador/encomendaDisponibilizada,172.6224422454834
UR10,youBot,/entregador/encomendaColetada,288.85412216186523
Franka,youBot,/entregador/encomendaDisponibilizada,244.34685707092285
UR10,youBot,/entregador/encomendaColetada,388.5684013366699
Franka,youBot,/entregador/encomendaDisponibilizada,767.9731845855713
UR10,youBot,/entregador/encomendaColetada,164.9479866027832
Franka,youBot,/entregador/encomendaDisponibilizada,386.8756294250488
UR10,youBot,/entregador/encomendaColetada,274.5635509490967
Franka,youBot,/entregador/encomendaDisponibilizada,267.0276165008545
UR10,youBot,/entregador/encomendaColetada,243.68023872375488
Franka,youBot,/entregador/encomendaDisponibilizada,351.6104221343994
UR10,youBot,/entregador/encomendaColetada,213.75632286071777
Franka,youBot,/entregador/encomendaDisponibilizada,294.85082626342773
UR10,youBot,/entregador/encomendaColetada,240.9501075744629
Franka,youBot,/entregador/encomendaDisponibilizada,172.49488830566406
UR10,youBot,/entregador/encomendaColetada,196.9015598297119
Franka,youBot,/entregador/encomendaDisponibilizada,218.87969970703125
UR10,youBot,/entregador/encomendaColetada,206.48646354675293
Franka,youBot,/entregador/encomendaDisponibilizada,280.6704044342041
UR10,youBot,/entregador/encomendaColetada,217.1001434326172
UR10,youBot,/colaboracao/fim,220.81661224365234
Franka,youBot,/entregador/encomendaDisponibilizada,218.91283988952637
UR10,youBot,/entregador/encomendaColetada,213.8209342956543
Franka,youBot,/entregador/encomendaDisponibilizada,656.5604209899902
UR10,youBot,/entregador/encomendaColetada,2219.7561264038086
Franka,youBot,/entregador/encomendaDisponibilizada,331.3438892364502
UR10,youBot,/entregador/encomendaColetada,164.48664665222168
Franka,youBot,/entregador/encomendaDisponibilizada,220.4306125640869
UR10,youBot,/entregador/encomendaColetada,194.42057609558105
Franka,youBot,/entregador/encomendaDisponibilizada,256.2291622161865
UR10,youBot,/entregador/encomendaColetada,176.76520347595215
Franka,youBot,/entregador/encomendaDisponibilizada,173.71153831481934
UR10,youBot,/entregador/encomendaColetada,329.5636177062988
Franka,youBot,/entregador/encomendaDisponibilizada,178.53665351867676
UR10,youBot,/entregador/encomendaColetada,176.27835273742676
Franka,youBot,/entregador/encomendaDisponibilizada,204.33878898620605
UR10,youBot,/entregador/encomendaColetada,171.64182662963867
Franka,youBot,/entregador/encomendaDisponibilizada,170.66168785095215
UR10,youBot,/entregador/encomendaColetada,212.46600151062012
Franka,youBot,/entregador/encomendaDisponibilizada,236.26041412353516
UR10,youBot,/entregador/encomendaColetada,157.83333778381348
UR10,youBot,/colaboracao/fim,167.79708862304688
Franka,youBot,/entregador/encomendaDisponibilizada,214.1575813293457
UR10,youBot,/entregador/encomendaColetada,200.117826461792
Franka,youBot,/entregador/encomendaDisponibilizada,180.39584159851074
UR10,youBot,/entregador/encomendaColetada,168.4260368347168
Franka,youBot,/entregador/encomendaDisponibilizada,224.34043884277344
UR10,youBot,/entregador/encomendaColetada,212.7819061279297
Franka,youBot,/entregador/encomendaDisponibilizada,240.1900291442871
UR10,youBot,/entregador/encomendaColetada,199.16510581970215
Franka,youBot,/entregador/encomendaDisponibilizada,150.04634857177734
UR10,youBot,/entregador/encomendaColetada,252.97045707702637
Franka,youBot,/entregador/encomendaDisponibilizada,229.9816608428955
UR10,youBot,/entregador/encomendaColetada,248.34704399108887
Franka,youBot,/entregador/encomendaDisponibilizada,269.43469047546387
UR10,youBot,/entregador/encomendaColetada,183.31217765808105
Franka,youBot,/entregador/encomendaDisponibilizada,222.93734550476074
UR10,youBot,/entregador/encomendaColetada,187.10613250732422
Franka,youBot,/entregador/encomendaDisponibilizada,253.13401222229004
UR10,youBot,/entregador/encomendaColetada,235.48269271850586
Franka,youBot,/entregador/encomendaDisponibilizada,242.0051097869873
UR10,youBot,/entregador/encomendaColetada,242.70153045654297
UR10,youBot,/colaboracao/fim,203.71651649475098
